No de client;Produit;Date; QuantitÇ ;Prix unitaire;Panne = U;Actif = 0;CapacitÇ citerne;Automatique = 1;Limite degrÇs jour;Degres jour cumulÇs;Temperature
102257;G;02-01-19;2.000;0;49480 ?;;0;181185;0;0;5
102349;G;02-01-19;1.972;0;49480 ?;;0;251283;0;0;5
102467;G;02-01-19;2.500;0;42010 ?;;0;221286;0;0;5
102685;G;02-01-19;1.000;0;47730 ?;;0;220986;0;0;5
210124;G;02-01-19;18.004;0;47130 ?;;0;261185;0;0;5
210124;G;02-01-19;11.804;0;47130 ?;;0;100584;0;0;5
210245;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
211174;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
211606;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
211616;G;02-01-19;1.100;0;49480 ?;U;0;300785;0;0;5
211716;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
211716;G;02-01-19;1.000;0;49480 ?;;0;3100;1;2000;5
211782;G;02-01-19;1.000;0;49480 ?;;0;111285;0;0;5
211889;G;02-01-19;2.053;0;49480 ?;;0;0;0;0;5
212198;G;02-01-19;1.000;0;49480 ?;;0;201185;0;0;5
212278;G;02-01-19;7.635;0;47130 ?;;0;0;0;0;5
212278;G;02-01-19;18.355;0;47130 ?;;0;0;0;0;5
212278;GX;02-01-19;2.066;0;47070 ?;;0;0;0;0;5
213042;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
213051;G;02-01-19;1.000;0;49480 ?;;0;201283;0;0;5
213372;G;02-01-19;15.000;0;40770 ?;;0;0;0;0;5
213372;GX;02-01-19;10.000;0;41210 ?;;0;0;0;0;5
214223;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
214381;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
214449;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
214579;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
214739;GX;02-01-19;1.000;0;49420 ?;;0;300986;0;0;5
214838;G;02-01-19;1.500;0;49480 ?;;0;271183;0;0;5
214968;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
215032;GX;02-01-19;125;0;49420 ?;;0;51084;0;0;5
215064;G;02-01-19;2.500;0;45030 ?;;0;0;0;0;5
215065;G;02-01-19;2.000;0;45030 ?;;0;281086;0;0;5
215207;G;02-01-19;1.000;0;49480 ?;;0;70887;0;0;5
215211;G;02-01-19;1.000;0;49480 ?;;0;70185;0;0;5
215278;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
215459;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
215589;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
216030;G;02-01-19;2.000;0;47130 ?;;0;0;0;0;5
216316;G;02-01-19;1.945;0;49480 ?;;0;100686;0;0;5
216429;G;02-01-19;1.504;0;50400 ?;;0;220786;0;0;5
216565;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
216730;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
217152;G;02-01-19;2.000;0;49480 ?;;0;241284;0;0;5
217385;G;02-01-19;1.500;0;46030 ?;;0;270886;0;0;5
217874;G;02-01-19;500;0;49480 ?;;0;111086;0;0;5
218411;G;02-01-19;1.500;0;49480 ?;;0;0;0;0;5
218700;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
218722;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
219085;G;02-01-19;3.000;0;49480 ?;;0;0;0;0;5
219312;G;02-01-19;957;0;49480 ?;;0;260184;0;0;5
219329;G;02-01-19;1.500;0;45030 ?;;0;0;0;0;5
219330;G;02-01-19;1.300;0;45030 ?;;0;240286;0;0;5
219479;G;02-01-19;1.250;0;49480 ?;;0;60185;0;0;5
219482;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
219673;G;02-01-19;1.000;0;46030 ?;;0;0;0;0;5
219674;G;02-01-19;1.129;0;46030 ?;;0;240885;0;0;5
220054;G;02-01-19;1.000;0;49480 ?;;0;241286;0;0;5
220063;G;02-01-19;600;0;46030 ?;;0;0;0;0;5
220368;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
220523;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
220613;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
220846;G;02-01-19;2.000;0;49480 ?;;0;50886;0;0;5
221074;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
221297;G;02-01-19;1.000;0;49480 ?;;0;230184;0;0;5
221599;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
221752;G;02-01-19;1.859;0;49480 ?;;0;0;0;0;5
222214;G;02-01-19;2.000;0;49480 ?;;0;60386;0;0;5
222227;G;02-01-19;800;0;48230 ?;;0;130386;0;0;5
222602;G;02-01-19;1.000;0;49480 ?;;0;190285;0;0;5
222606;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
222957;G;02-01-19;500;0;49480 ?;U;0;0;0;0;5
222971;G;02-01-19;1.000;0;49480 ?;;0;80987;0;0;5
222993;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
223214;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
223250;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
223316;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
223474;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
223596;G;02-01-19;1.500;0;49480 ?;;0;0;0;0;5
223830;G;02-01-19;1.400;0;45030 ?;;0;0;0;0;5
224138;G;02-01-19;500;0;49480 ?;;0;30287;0;0;5
224202;G;02-01-19;1.562;0;46030 ?;;0;0;0;0;5
224602;G;02-01-19;888;0;49480 ?;;0;290987;0;0;5
224645;G;02-01-19;1.000;0;49480 ?;;0;270587;0;0;5
224825;G;02-01-19;2.000;0;49480 ?;;0;10287;0;0;5
225416;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
225435;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
225507;GX;02-01-19;100;0;49420 ?;;0;0;0;0;5
225530;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
225610;G;02-01-19;2.000;0;49480 ?;;0;20000;0;0;5
225776;G;02-01-19;1.200;0;49480 ?;;0;310185;0;0;5
225782;G;02-01-19;600;0;49480 ?;;0;0;0;0;5
225866;G;02-01-19;500;0;49480 ?;U;0;0;0;0;5
225897;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
226425;G;02-01-19;1.000;0;49480 ?;;0;31286;0;0;5
226905;G;02-01-19;1.000;0;49480 ?;;0;121186;0;0;5
226979;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
227436;G;02-01-19;600;0;49480 ?;;0;130586;0;0;5
227437;G;02-01-19;1.000;0;49480 ?;;0;190587;0;0;5
227763;G;02-01-19;500;0;49480 ?;;0;140186;0;0;5
228015;G;02-01-19;1.700;0;46030 ?;;0;0;0;0;5
228042;GX;02-01-19;1.000;0;49420 ?;;0;0;0;0;5
228187;G;02-01-19;1.500;0;49480 ?;;0;0;0;0;5
228622;G;02-01-19;500;0;49480 ?;;0;51185;0;0;5
228719;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
228779;G;02-01-19;1.000;0;49480 ?;;0;60286;0;0;5
229001;G;02-01-19;1.000;0;49480 ?;;0;111286;0;0;5
229032;G;02-01-19;500;0;49480 ?;;0;180886;0;0;5
229123;G;02-01-19;3.000;0;49480 ?;;0;0;0;0;5
229213;G;02-01-19;500;0;49480 ?;U;0;0;0;0;5
229334;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
229427;G;02-01-19;873;0;46030 ?;;0;100286;0;0;5
229547;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
229564;G;02-01-19;500;0;49480 ?;;0;210885;0;0;5
230118;G;02-01-19;2.000;0;47130 ?;U;0;100984;0;0;5
230417;G;02-01-19;1.100;0;49480 ?;;0;191086;0;0;5
230461;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
230493;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
230716;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
230777;G;02-01-19;500;0;49480 ?;;0;281086;0;0;5
230823;G;02-01-19;1.000;0;49480 ?;;0;180887;0;0;5
231335;G;02-01-19;2.000;0;49480 ?;U;0;30985;0;0;5
231442;G;02-01-19;500;0;49480 ?;;0;161286;0;0;5
231442;G;02-01-19;14;0;00000 ?;;0;50187;0;0;5
231544;G;02-01-19;1.903;0;49480 ?;;0;0;0;0;5
231909;G;02-01-19;1.347;0;48230 ?;;0;0;0;0;5
231959;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
232187;G;02-01-19;995;0;49480 ?;;0;0;0;0;5
232309;G;02-01-19;1.961;0;49480 ?;;0;240287;0;0;5
232474;G;02-01-19;1.300;0;49480 ?;U;0;1200;0;0;5
232548;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
232639;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
232671;G;02-01-19;1.769;0;49480 ?;;0;0;0;0;5
232745;G;02-01-19;1.000;0;49480 ?;;0;81085;0;0;5
232933;G;02-01-19;907;0;48230 ?;;0;0;0;0;5
233010;G;02-01-19;1.000;0;49480 ?;U;0;0;0;0;5
233034;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
233118;G;02-01-19;600;0;49480 ?;;0;0;0;0;5
233128;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
233142;G;02-01-19;974;0;49480 ?;;0;121283;0;0;5
233197;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
233212;G;02-01-19;1.000;0;49480 ?;U;0;230387;0;0;5
233521;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
233540;G;02-01-19;2.000;0;47120 ?;;0;290687;0;0;5
233576;G;02-01-19;1.000;0;49480 ?;;0;51185;0;0;5
233881;G;02-01-19;2.500;0;49480 ?;;0;90885;0;0;5
234079;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
234081;G;02-01-19;500;0;49480 ?;;0;101283;0;0;5
234234;G;02-01-19;500;0;49480 ?;;0;281086;0;0;5
234236;G;02-01-19;1.613;0;49480 ?;;0;0;0;0;5
234321;G;02-01-19;1.000;0;49480 ?;;0;2200;0;0;5
234403;G;02-01-19;1.200;0;49480 ?;;0;0;0;0;5
234435;G;02-01-19;1.000;0;49480 ?;;0;180886;0;0;5
234451;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
234566;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
235006;GX;02-01-19;100;0;49420 ?;;0;150284;0;0;5
235055;G;02-01-19;1.000;0;49480 ?;;0;100985;0;0;5
235263;G;02-01-19;1.000;0;49480 ?;;0;140486;0;0;5
235280;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
235321;G;02-01-19;1.000;0;49480 ?;;0;30884;0;0;5
235399;G;02-01-19;1.000;0;49480 ?;;0;30387;0;0;5
235417;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
235614;G;02-01-19;753;0;49480 ?;U;0;291085;0;0;5
235614;GX;02-01-19;50;0;49480 ?;;0;100985;0;0;5
235697;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
235698;G;02-01-19;500;0;49480 ?;U;0;0;0;0;5
235699;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
235700;G;02-01-19;2.000;0;49480 ?;;0;221284;0;0;5
235701;G;02-01-19;1.000;0;47130 ?;;0;0;0;0;5
235702;G;02-01-19;1.344;0;47130 ?;;0;0;0;0;5
235703;G;02-01-19;600;0;49480 ?;;0;290987;0;0;5
900194;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
901011;G;02-01-19;1.000;0;49480 ?;;0;140486;0;0;5
2294;G;03-01-19;1.000;0;47750 ?;;0;0;0;0;-2
3571;G;03-01-19;500;0;46050 ?;;0;0;0;0;-2
4364;G;03-01-19;1.043;0;49500 ?;;0;0;0;0;-2
16365;G;03-01-19;1.500;0;49500 ?;;0;160786;0;0;-2
22198;GX;03-01-19;50;0;49430 ?;;0;0;0;0;-2
51231;G;03-01-19;1.941;0;49500 ?;;0;41185;0;0;-2
51313;G;03-01-19;1.000;0;49500 ?;;0;281185;0;0;-2
52030;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
53433;G;03-01-19;2.200;0;49500 ?;;0;4000;0;1476;-2
54003;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
54797;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
55072;G;03-01-19;1.000;0;49500 ?;;0;51185;0;0;-2
55146;G;03-01-19;1.000;0;46050 ?;;0;0;0;0;-2
55375;G;03-01-19;2.000;0;46050 ?;;0;260385;0;0;-2
59960;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
60784;G;03-01-19;1.985;0;49500 ?;;0;0;0;0;-2
60793;GX;03-01-19;4.900;0;47050 ?;;0;0;0;0;-2
60793;G;03-01-19;9.791;0;47120 ?;;0;250184;0;0;-2
61015;G;03-01-19;2.000;0;49500 ?;;0;6000;1;1800;-2
61064;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
61134;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
61769;G;03-01-19;1.966;0;49500 ?;;0;0;0;0;-2
62531;G;03-01-19;1.100;0;49500 ?;;0;0;0;0;-2
63358;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
63774;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
63816;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
64046;G;03-01-19;500;0;49500 ?;;0;220687;0;0;-2
100302;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
101332;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
102772;G;03-01-19;1.000;0;46050 ?;;0;0;0;0;-2
102789;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
210124;G;03-01-19;17.875;0;47120 ?;;0;0;0;0;-2
210134;G;03-01-19;1.200;0;49500 ?;;0;151285;0;0;-2
210202;G;03-01-19;1.500;0;49500 ?;;0;0;0;0;-2
210536;G;03-01-19;1.000;0;49500 ?;;0;291085;0;0;-2
210547;G;03-01-19;2.000;0;46050 ?;;0;0;0;0;-2
210668;G;03-01-19;500;0;49500 ?;;0;141185;0;0;-2
210726;G;03-01-19;1.500;0;49500 ?;;0;0;0;0;-2
211049;G;03-01-19;1.200;0;49500 ?;;0;2800;0;5358;-2
211253;GX;03-01-19;1.500;0;49430 ?;;0;90885;0;0;-2
211414;G;03-01-19;2.000;0;49500 ?;;0;11086;0;0;-2
212449;G;03-01-19;2.149;0;49500 ?;;0;160486;0;0;-2
212731;G;03-01-19;1.000;0;49500 ?;U;0;0;0;0;-2
212838;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
213342;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
213734;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
214062;G;03-01-19;1.000;0;49500 ?;;0;61184;0;0;-2
214097;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
214642;G;03-01-19;900;0;49500 ?;;0;0;0;0;-2
215174;G;03-01-19;3.902;0;49500 ?;;0;0;0;0;-2
215230;G;03-01-19;959;0;49500 ?;;0;0;0;0;-2
215371;G;03-01-19;717;0;49500 ?;;0;280987;0;0;-2
215496;G;03-01-19;1.200;0;49500 ?;U;0;0;0;0;-2
215568;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
215778;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
215835;G;03-01-19;1.000;0;49500 ?;;0;130886;0;0;-2
215870;G;03-01-19;1.500;0;49500 ?;;0;0;0;0;-2
216700;G;03-01-19;600;0;49500 ?;;0;0;0;0;-2
217166;G;03-01-19;1.227;0;47130 ?;;0;0;0;0;-2
217803;G;03-01-19;1.000;0;47750 ?;;0;10000;0;0;-2
217940;G;03-01-19;1.000;0;49500 ?;;0;170387;0;0;-2
218151;G;03-01-19;600;0;49500 ?;;0;60885;0;0;-2
218204;G;03-01-19;1.000;0;49500 ?;;0;200385;0;0;-2
219038;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
219245;G;03-01-19;1.000;0;49500 ?;;0;2500;0;0;-2
219784;G;03-01-19;500;0;49500 ?;;0;310883;0;0;-2
220005;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
220024;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
220119;G;03-01-19;1.300;0;47120 ?;;0;0;0;0;-2
220247;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
220291;G;03-01-19;1.300;0;47120 ?;;0;0;0;0;-2
220307;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
220470;G;03-01-19;1.120;0;45050 ?;;0;0;0;0;-2
220485;G;03-01-19;1.190;0;49500 ?;;0;0;0;0;-2
220653;G;03-01-19;1.000;0;49500 ?;;0;171285;0;0;-2
220893;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
221370;G;03-01-19;500;0;49500 ?;;0;170987;0;0;-2
221371;G;03-01-19;2.000;0;49500 ?;;0;200587;0;0;-2
221402;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
221988;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
222092;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
222822;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
223140;G;03-01-19;1.474;0;49500 ?;;0;0;0;0;-2
223192;G;03-01-19;2.399;0;49500 ?;;0;0;0;0;-2
223298;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
223794;G;03-01-19;1.797;0;49500 ?;;0;251083;0;0;-2
224327;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
224504;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
224689;G;03-01-19;2.000;0;49500 ?;;0;130186;0;0;-2
225026;G;03-01-19;500;0;49500 ?;;0;120885;0;0;-2
225329;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
225582;G;03-01-19;1.000;0;49500 ?;U;0;0;0;0;-2
225818;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
225938;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
226076;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
226145;G;03-01-19;995;0;49500 ?;;0;2500;0;1400;-2
226189;G;03-01-19;1.000;0;45050 ?;;0;0;0;0;-2
226213;GX;03-01-19;1.000;0;49430 ?;;0;0;0;0;-2
226383;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
226473;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
226586;G;03-01-19;1.000;0;49500 ?;U;0;0;0;0;-2
226666;G;03-01-19;1.907;0;49500 ?;;0;0;0;0;-2
226714;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
227035;G;03-01-19;2.000;0;49500 ?;;0;230287;0;0;-2
227407;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
227427;G;03-01-19;500;0;48250 ?;;0;0;0;0;-2
227427;G;03-01-19;1.400;0;49500 ?;;0;0;0;0;-2
227809;G;03-01-19;800;0;49500 ?;;0;290987;0;0;-2
229100;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
229148;GX;03-01-19;25;0;49430 ?;;0;0;0;0;-2
229411;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
229870;G;03-01-19;2.000;0;44500 ?;;0;251185;0;0;-2
229972;G;03-01-19;500;0;49500 ?;U;0;20384;0;0;-2
230079;GX;03-01-19;2.000;0;49430 ?;;0;0;0;0;-2
230259;G;03-01-19;1.000;0;49500 ?;;0;200885;0;0;-2
230599;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
230917;G;03-01-19;2.000;0;49500 ?;;0;0;0;0;-2
231355;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
231769;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
231787;G;03-01-19;500;0;49500 ?;;0;300487;0;0;-2
231871;G;03-01-19;1.000;0;49500 ?;U;0;210885;0;0;-2
231952;G;03-01-19;2.000;0;49500 ?;;0;100984;0;0;-2
232070;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
232185;G;03-01-19;1.911;0;45050 ?;;0;11085;0;0;-2
232281;G;03-01-19;500;0;49480 ?;;0;0;0;0;-2
232308;G;03-01-19;1.949;0;47120 ?;;0;0;0;0;-2
232356;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
232390;G;03-01-19;2.500;0;45050 ?;;0;0;0;0;-2
232391;G;03-01-19;1.000;0;45050 ?;;0;0;0;0;-2
232926;G;03-01-19;1.000;0;49500 ?;U;0;241083;0;0;-2
233138;G;03-01-19;1.000;0;45050 ?;;0;0;0;0;-2
233164;G;03-01-19;1.000;0;49500 ?;;0;50285;0;0;-2
233527;G;03-01-19;1.500;0;49500 ?;;0;0;0;0;-2
233620;G;03-01-19;500;0;49500 ?;;0;110886;0;0;-2
233733;G;03-01-19;500;0;49500 ?;;0;310785;0;0;-2
233863;G;03-01-19;500;0;49500 ?;U;0;0;0;0;-2
233916;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
234018;G;03-01-19;1.000;0;49500 ?;;0;200586;0;0;-2
234087;G;03-01-19;800;0;49500 ?;;0;0;0;0;-2
234109;G;03-01-19;1.000;0;49500 ?;;0;181185;0;0;-2
234229;G;03-01-19;1.000;0;49500 ?;U;0;161084;0;0;-2
234402;G;03-01-19;1.470;0;46050 ?;;0;0;0;0;-2
234766;G;03-01-19;600;0;49500 ?;;0;0;0;0;-2
234872;G;03-01-19;1.000;0;49500 ?;;0;90384;0;0;-2
235409;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
235704;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
235705;G;03-01-19;750;0;49500 ?;U;0;210486;0;0;-2
235706;G;03-01-19;1.000;0;53300 ?;;0;80785;0;0;-2
235707;G;03-01-19;965;0;49500 ?;;0;0;0;0;-2
235708;G;03-01-19;1.000;0;45050 ?;;0;200885;0;0;-2
235709;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
235710;G;03-01-19;500;0;49500 ?;;0;0;0;0;-2
235711;G;03-01-19;600;0;49500 ?;;0;151183;0;0;-2
235712;G;03-01-19;1.000;0;49500 ?;;0;0;0;0;-2
235713;G;03-01-19;1.000;0;49500 ?;U;0;220385;0;0;-2
235714;G;03-01-19;1.500;0;49500 ?;;0;0;0;0;-2
2613;G;04-01-19;1.000;0;51400 ?;;0;0;0;0;4
2787;G;04-01-19;1.300;0;49840 ?;;0;200886;0;0;4
3496;G;04-01-19;2.000;0;51590 ?;;0;261184;0;0;4
4375;G;04-01-19;1.000;0;49840 ?;;0;251283;0;0;4
6068;G;04-01-19;700;0;51400 ?;;0;0;0;0;4
8409;G;04-01-19;893;0;51400 ?;;0;291286;0;0;4
13813;G;04-01-19;1.000;0;51400 ?;;0;0;0;0;4
22278;G;04-01-19;1.000;0;49500 ?;;0;171285;0;0;4
50321;G;04-01-19;1.335;0;47950 ?;;0;0;0;0;4
50355;G;04-01-19;1.200;0;47140 ?;;0;0;0;0;4
54098;G;04-01-19;2.014;0;49050 ?;;0;0;0;0;4
55640;G;04-01-19;500;0;51590 ?;U;0;120984;0;0;4
59559;G;04-01-19;1.000;0;51400 ?;;0;291286;0;0;4
59567;G;04-01-19;500;0;51400 ?;;0;0;0;0;4
59746;G;04-01-19;1.000;0;51590 ?;;0;0;0;0;4
59767;G;04-01-19;1.517;0;47140 ?;;0;0;0;0;4
60793;G;04-01-19;5.162;0;49050 ?;;0;110286;0;0;4
60793;GX;04-01-19;4.603;0;49020 ?;;0;70486;0;0;4
61365;G;04-01-19;1.500;0;47950 ?;;0;0;0;0;4
61400;G;04-01-19;1.500;0;51400 ?;;0;0;0;0;4
62450;G;04-01-19;2.000;0;51590 ?;;0;0;0;0;4
62592;GX;04-01-19;1.526;0;51560 ?;;0;0;0;0;4
63562;G;04-01-19;1.629;0;47950 ?;;0;0;0;0;4
100249;G;04-01-19;1.500;0;51400 ?;;0;0;0;0;4
100357;G;04-01-19;500;0;51400 ?;;0;0;0;0;4
100629;G;04-01-19;500;0;51400 ?;;0;70487;0;0;4
100987;G;04-01-19;1.500;0;51400 ?;;0;0;0;0;4
100988;G;04-01-19;500;0;51400 ?;;0;70587;0;0;4
101003;G;04-01-19;500;0;51400 ?;;0;0;0;0;4
101881;G;04-01-19;2.000;0;46950 ?;;0;0;0;0;4
102227;G;04-01-19;2.000;0;51400 ?;;0;0;0;0;4
102474;G;04-01-19;2.000;0;51400 ?;;0;70486;0;0;4
102572;G;04-01-19;1.000;0;51400 ?;;0;20986;0;0;4
102913;G;04-01-19;2.000;0;51400 ?;;0;0;0;0;4
